Ticker,Category,Holding_Period,TOM_Return,Baseline_Return,Difference,TOM_WinRate,Baseline_WinRate,Num_Trades,P_Value
EWJ,International,5,0.0015517045877279448,0.0028492868043431597,-0.001297582216615215,0.5722222222222222,0.5388888888888889,180,0.6179989402426703
EWZ,International,1,0.0008836641073672825,0.002375326326009697,-0.0014916622186424147,0.5611111111111111,0.5333333333333333,180,0.5358612059353765
EWZ,International,2,0.0030970021891825197,0.0014724018955495392,0.0016246002936329805,0.5166666666666667,0.48333333333333334,180,0.6221129441380606
EWZ,International,3,0.0048315605027361794,-0.00024921604705844196,0.005080776549794622,0.49444444444444446,0.48333333333333334,180,0.2065497361235616
EWZ,International,5,0.005782960881277063,-0.0021885735203418474,0.00797153440161891,0.55,0.4888888888888889,180,0.10227556548631722
EWG,International,1,0.0009267435693702621,0.0005416931844568613,0.0003850503849134008,0.5833333333333334,0.5277777777777778,180,0.8151262926675198
EWG,International,2,0.00036637101705125894,0.0013794862133851042,-0.0010131151963338452,0.55,0.5222222222222223,180,0.6577095417681833
EWG,International,3,0.0018997524162559806,0.0009755501948490382,0.0009242022214069424,0.5555555555555556,0.5277777777777778,180,0.7456234597719822
EWG,International,5,0.0014969319126369217,0.0031758570380478034,-0.0016789251254108817,0.5388888888888889,0.55,180,0.6254466230426536
EWU,International,1,0.0009896232530929852,0.0006989240584170123,0.0002906991946759729,0.5388888888888889,0.4888888888888889,180,0.8369301233300189
EWU,International,2,0.0019812145459436967,0.0017736365120141506,0.00020757803392954617,0.5611111111111111,0.5611111111111111,180,0.9150275027016841
EWU,International,3,0.0027199706684133272,0.0022655715756659946,0.0004543990927473327,0.5833333333333334,0.55,180,0.8581159481523752
EWU,International,5,0.0021222025795868795,0.00351511702258429,-0.0013929144429974103,0.5277777777777778,0.5777777777777777,180,0.6339772972873337
FXI,International,1,0.0028960318749707307,-0.0007795008988794633,0.003675532773850194,0.5944444444444444,0.46111111111111114,180,0.048959454297197814
FXI,International,2,0.005055097588587729,0.001726026535500907,0.0033290710530868217,0.5444444444444444,0.5333333333333333,180,0.21165917662192418
FXI,International,3,0.0050822192984260476,0.0013678271495347694,0.003714392148891278,0.5111111111111111,0.5055555555555555,180,0.2375739456647638
FXI,International,5,0.003572569480129111,0.0006295783459469844,0.002942991134182127,0.5555555555555556,0.5277777777777778,180,0.4907179510866707
